--bus section
i, v(p.u.), theta(deg), bcs(MVAR at v = 1 p.u.)
1.0,1.00000019015468,0.3768985050110807,0.0
2.0,1.0000005613388336,-0.386499190340309,0.0
3.0,1.0000136060282745,-0.26436592292811023,0.0
4.0,0.9999894708168485,-0.01969840632654143,0.0
5.0,1.000002629494617,-0.9623339823752113,0.0
6.0,1.000001380503537,0.845612845616288,0.0
7.0,0.9992707638374221,-10.638195414285606,0.0
8.0,1.0003811833886178,6.798918875787268,0.0
9.0,1.0004494709606835,2.6413510586759856,0.0
10.0,0.9999999697974747,0.003999944101454399,0.0
11.0,1.0000000311059576,0.0021765667947857355,0.0
12.0,1.0000001210533875,0.017028824419447232,0.0
13.0,0.9999998670881597,-0.019793657546866142,0.0
14.0,0.9999714985977568,-1.2469477361577144,0.0
15.0,1.0000157458893295,-0.4235543856388773,0.0
16.0,1.0000079141436689,0.10299163731465351,0.0
17.0,1.0000138472178146,-0.015161258414759711,0.0
18.0,1.0000010926379856,0.02091135597026759,0.0
19.0,0.9999999565432096,-0.18032358572614288,0.0
20.0,1.0000001088809993,0.11754931886445294,0.0
21.0,1.0000005807125418,-0.17176758363797745,0.0
22.0,0.9999997011240063,0.2043205452382567,0.0
23.0,1.0000383233781127,-0.10294047442521971,0.0
24.0,1.0000072232814354,-0.5291711925270334,0.0
25.0,0.9999961462854644,0.2217049402648159,0.0
26.0,0.9999965253557499,0.2318497652783842,0.0
27.0,0.9999999885628116,0.005219101637816739,25.000000000000007
28.0,1.0000000154356192,-0.01735402543226774,0.0
29.0,0.9999993194435097,0.029476397627489614,0.0
30.0,1.000001705099148,-0.0019611538077796593,0.0
31.0,1.0000000820276738,0.03630504707581797,19.9951171875
32.0,0.9999999554527773,-0.03195258500177186,0.0
33.0,1.0000000481611382,0.09834293623230138,0.0
34.0,1.0000000178525559,-0.11111944196597208,0.0
35.0,1.00000002627677,-0.05206933861830036,0.0
36.0,0.9999999606108296,0.03932121708271654,0.0
37.0,1.0000003092919527,-0.053887226727642006,0.0
38.0,0.9999997372247376,0.05989674584954903,0.0
39.0,1.0000089736565727,1.087613115480865,0.0
